 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"As a result, pals said Tristan even won an invite from Khloe to a 'Taco Tuesday' dinner at her mansion - bringing him one step closer to a reunion with the reality star and their 17-month-old daughter True.","V důsledku toho jeho přátelé tvrdili, že Tristan byl dokonce pozván od Khloé na večeři v „Taco Tuesday“ u jejího sídla – což ho přivedlo o krok blíž ke shledání s hvězdou a jejich 17timěsíční dcerou True.","Díky tomu, tvrdí jeho kamarádi, Tristan dokonce získal pozvání od Khloe na ""taco úterý"" - večeři v jejím domě - což ho o krok přiblížilo ke shledání s hvězdou reality show a jejich  17měsíční dcerou True.","Jako výsledek jeho snažení přátelé Tristana uvedli, že se mu podařilo získat od Khloe pozvání na „Tacové úterý"", večeři v její vile, což ho přivedlo o krok blíže opět navázat vztah s hvězdou realitní show a jejich 17měsíční dcerou True. ","Jak prohlásili jeho přátelé, Tristan díky tomu obdržel pozvání od Khloé na úterní večeři v jejím domě, tzv. Taco Tuesday, což ho přivedlo zase o krok blíže k opětovnému navázání vztahu s hvězdou reality show a jejich 17měsíční dcerou True.","Jak prohlásili jeho přátelé, Tristan díky tomu obdržel pozvání od Khloé na úterní večeři v mexickém stylu v jejím domě, tzv. Taco Tuesday. Tímto krokem se ocitl o něco blíže k opětovnému navázání vztahu s hvězdou reality show a jejich 17měsíční dcerou True.",N2: explikace v mexickém stylu,
"A source said: ""Tristan is good pals with Drake and has been using him as a sounding board as he plots his return to the Kardashian fold.",Podle nejmenovaného zdroje: „Tristan je Drakeův dobrý kamarád a používá ho jako diskuzního partnera při svém záměru vrátit se zpět ke Kardashianové.“,"Jeden zdroj uvedl: ""Tristan s Drakem jsou dobří kamarádi a využívá ho jako poradce při svém plánování návratu ke Kardashianové.","Zdroj uvedl: „Tristan je dobrý přítel s Drakem a začal ho používat jako vrchního rádce, zatímco plánuje svůj návrat do přízně Kardashianových.“",Jeden ze zdrojů uvedl: „Tristan s Drakem jsou skvělí kámoši. Tristan ho využívá jako poradce při plánování svého návratu do přízně Khloé Kardashianové.“,Jeden ze zdrojů uvedl: „Tristan s Drakem jsou skvělí kámoši. Tristan se s ním radí ohledně plánů na svůj návrat do Kardashianovic klanu.“,,
Khloe was left heartbroken by Tristan's infidelity,Khloé Tristanova nevěra zlomila srdce.,Tristanova nevěra zlomila Khloe srdce.,Tristanova nevěra zlomila Khloe srdce,Tristanova nevěra zlomila Khloé srdce,,popisek k fotografii,
"""Drake told him to pull out all the stops if he wanted to win Khloe back.","„Drake mu řekl, aby se před ničím nezastavil, jestliže chce získat Khloé zpět.","""Drake mu řekl, aby vynaložil veškeré úsilí, pokud chce Khloe získat zpět.""","„Drake mu řekl, aby použil všechny metody, pokud chce získat Khloe zpátky.“","„Drake mu řekl, že jestli chce získat Khloé zpět, musí vytáhnout nějaký těžký kalibr.“","„Drake mu řekl, že jestli chce získat Khloé zpět, bude si muset pořádně máknout.“",,
"""An invite to a casual dinner might not sound like a reasonable trade off for a sleek supercar.",„Pozvánka na příležitostnou večeři nemusí působit jako dobrý výměnný obchod za elegantní superauto.,"""Pozvání na neformální večeři se nemusí zdát jako rozumný obchod za elegantní superauto.",„Pozvánka na neformální večeři možná nezní jako rozumná cena za luxusní sportovní auto.“,„Pozvání na obyčejnou večeři nezní jako úplně odpovídající odměna za elegantní superauto.“,„Pozvání na obyčejnou večeři nezní jako úplně odpovídající odměna za nablejskanej superauťák.“,N2 nablejskanej superauťák respektuje konotace (volba samotného výrazu) a v případě nablejskanej také stylový úzus současných českých sociálních sítí (volba tvaru slova),
"""But after what Tristan did, he can't expect Khloe to roll out the red carpet for him.""","„Ale po tom, co Tristan udělal, nemůže očekávat, že mu Khloé nechá rozvinout červený koberec.“","""Ale potom, co Tristan udělal, nemůže čekat, že před něj Khloe natáhne červený koberec.""","„Ale potom, co Tristan udělal, nemůže očekávat, že Khloe ho bude vítat s červeným kobercem.""","„Ale po tom, co Tristan udělal, nemůže očekávat, že mu Khloé na uvítanou připraví červený koberec.“","„Jenže po tom, co Tristan provedl, nemůže čekat, že ho Khloé bude vítat s otevřenou náručí.“","doslovný překlad idiomu připravit červený koberec zachováváme v N1 (protože je srozumitelný), v N2 substituce běžnějším českým idiomem",
The pair are mum and dad to 17-month-old True,Dvojice jsou rodiče 17 měsíců staré holčičky True.,Pár je matkou a otcem 17měsíční True.,Pár má společně 17měsíční dceru True,Khloé a Tristan jsou rodiči 17měsíční dcery True,,popisek k fotografii,
Khloe Kardashian breaks down in tears and screams at cheating boyfriend Tristan Thompson in new Keeping Up With The Kardashians series 16 trailer,Khloé Kardashianová se zhroutila v slzách a křiku na svého podvádějícího přítele Tristana Thompsona v novém traileru k 16. sérii reality show „Keeping Up With The Kardashians“.,"Kloe Kardashianová se zhroutí v slzách a křičí na nevěrného přítele Tristana Thompsona v traileru k novému, 16. dílu seriálu Držte krok s Kardashians.",Khloe Kardashian se zhroutí v slzách a křičí na zahýbajícího přítele Tristana Thompsona v traileru na novou 16. sérii pořadu Držte krok s Kardashians,V traileru k nové 16. řadě reality show Držte krok s Kardashians se Khloé v slzách hroutí a křičí na nevěrného partnera Tristana Thompsona,,popisek k fotografii,
"The Sun revealed last month that Tristan planned to invite Khloe on a romantic trip to Greece after vowing: ""I will get my family back.""","Časopis The Sun minulý měsíc zjistil, že Tristan plánoval pozvat Khloé na romantický výlet do Řecka poté, co přísahal: „Získám svou rodinu zpět.“","The Sun minulý měsíc odhalil, že Tristan plánuje pozvat Khloe na romantický výlet do Řecka poté, co slíbil: ""Získám svou rodinu zpátky.""","Deník The Sun minulý měsíc odhalil, že Tristan plánoval Khloe pozvat na romantický výlet do Řecka, poté, co přísahal: „Získám svoji rodinu zpátky.“","Deník The Sun v minulém měsíci odhalil, že Tristan plánuje pozvat Khloé na romantický výlet do Řecka. Přísahal: „Získám svou rodinu zpět.“",,,
"Khloe has been left heartbroken by Tristan's repeated cheating throughout their romance, but still invited him to their daughter True's first birthday party earlier this year.","Khloé byla zlomená Tristanovým opakovaným podváděním během jejich vztahu, ale přesto ho pozvala na oslavu prvních narozenin jejich dcery True na začátku tohoto roku.","Khloe zůstala se zlomeným srdcem kvůli Tristanově opakované nevěře po celou dobu jejich vztahu, ale stejně jej pozvala na letošní oslavu prvních narozenin jejich dcery True.","Khloe měla zlomené srdce potom, co jí Tristan během jejich vztahu opakovaně zahýbal, ale přesto ho pozvala na první narozeniny jejich dcery True, dříve tento rok.","Khloé má zlomené srdce, protože ji Tristan během jejich vztahu opakovaně podváděl. Přesto ho letos pozvala na oslavu prvních narozenin jejich dcery True.",,,
"However, the star's family reality show Keeping Up With The Kardashians later showed that the event ended with Khloe in tears as she struggled to come to terms with his infidelity.","Nicméně ukázka z rodinné reality show „Keeping Up With Kardashians“ později svědčila o tom, že událost skončila tím, jak Khloé pláče, když se snažila vyrovnat s přítelovou nevěrou.","Její rodinná reality show Držte krok s Kardashians však později ukázala, že událost skončila tím, že Khloe plakala, když se snažila vyrovnat se s jeho nevěrou.","Nicméně, rodinná reality show Držte krok s Kardashians později ukázala, že celá událost skončila s Khloe v slzách, když se snažila vypořádat s Tristanovou nevěrou.","V rodinné reality show Držte krok s Kardashians však později vyšlo najevo, že Khloé na oslavě skončila v slzách, když se snažila vyrovnat s Tristanovou nevěrou.","Diváci rodinné reality show Držte krok s Kardashians však byli později svědky toho, jak se Khloé na konci oslavy rozplakala, jelikož v sobě Tristanovu nevěru ještě nezpracovala.",,
,,,,,,,
,,,,,,,
abcnews.363905,,,,,,,
Omni Air flight lands in Baltimore after declaring emergency,Letadlo společnosti Omni Air přistálo v Baltimoru po ohlášení stavu nouze,Let Omni Air přistál v Baltimoru po vyhlášení stavu nouze,Letadlo společnosti Omni Air po hlášení stavu nouze přistálo v Baltimoru,Letadlo společnosti Omni Air přistálo po vyhlášení stavu nouze v Baltimoru,Letadlo společnosti Omni Air vyhlásilo stav nouze a přistálo v Baltimoru,,
The Federal Aviation Administration says an Omni Air International jet landed safely at Baltimore Washington International Airport after declaring an emergency.,"Federální letecká správa oznámila, že letoun společnosti Omni Air International bezpečně přistál na mezinárodním letišti Baltimore Washington poté, co ohlásil nouzový stav.","Federální letecký úřad uvedl, že na mezinárodním letišti Baltimore-Washington bezpečně přistál mezinárodní let Omni Air International poté, co vyhlásil stav nouze.","Federální úřad pro letectví (FÚL) oznámil, že let Omni Air International bezpečně přistál na mezinárodním letiště Washington v Baltimoru poté, co vyhlásil stav nouze.","Federální úřad pro letectví (FAA) oznámil, že letoun společnosti Omni Air International bezpečně přistál na mezinárodním letišti Baltimore–Washington poté, co vyhlásil stav nouze.","Americký Federální úřad pro letectví (FAA) oznámil, že letadlo společnosti Omni Air International vyhlásilo stav nouze a poté bezpečně přistálo na mezinárodním letišti Baltimore–Washington.",,
The FAA said in an email that Flight 328 landed at BWI at 6:19 p.m. on Thursday because of what was described as a hydraulic problem with the Boeing B777.,"FAA v e-mailu uvedla, že letoun 328 přistál na letišti BWI ve čtvrtek v 18:19 hodin kvůli problému s hydraulikou, který měl Boeing B777.","Federální letecký úřad v e-mailu uvedl, že let 328 přistál na BWI ve čtvrtek v 18.19 hod kvůli tomu, co bylo popsáno jako hydraulický problém s Boeingem B777.","FÚL mailem potvrdil, že let 328 přistál na letišti v Baltimoru ve čtvrtek v 18:19, z důvodu popsaném jako porucha hydrauliky na Boeingu B777.","Úřad v e-mailu uvedl, že let 328 přistál na letišti Baltimore–Washington ve čtvrtek v 18:19 z důvodu, který byl popsán jako porucha hydrauliky na Boeingu B777.",,,
"According to the FAA, the flight departed from Baltimore, but its destination wasn't known. It's unclear how many people were on board. The agency is investigating the incident.","Podle FAA letadlo odletělo z Baltimoru, ale cíl jeho letu nebyl znám. Není jasné, kolik lidí bylo na palubě. Agentura incident vyšetřuje.","Podle FAA let odstartoval z Baltimoru, ale jeho destinace nebyla známa. Není jasné, kolik lidí bylo na palubě. Agentura incident vyšetřuje.","Podle FÚL byl let vypraven z Baltimoru, ale jeho cílová destinace nebyla známá. Není jasné, kolik cestujících bylo na palubě letadla. Úřad celou událost vyšetřuje.","Podle FAA byl let vypraven z Baltimoru, ale jeho cílová destinace nebyla známá. Také není jasné, kolik lidí bylo na palubě. Úřad celou událost vyšetřuje.",,"""také"" kvůli kohezi",
"A telephone message left at Tulsa, Oklahoma-based Omni Air International was immediately returned Thursday night.","Ústředí Omni Air International v Tulse, Oklahoma, ve čtvrtek v noci ihned odpovědělo na telefonický záznam.","Telefonická zpráva, zanechaná v Tulse, základně Omni Air Iternational v Oklahomě, byla okamžitě vrácena ve čtvrtek v noci.","Na telefonickou zprávu z Tulsy, základny společnosti Omni Air International v Oklahomě, přišla okamžitá odpověď ve čtvrtek v noci.","Na telefonickou žádost o vyjádření, zanechanou v sídle Omni Air International v Tulse v Oklahomě, přišla ještě ve čtvrtek večer kladná reakce.","Na telefonickou žádost o vyjádření, zanechanou v sídle Omni Air International v oklahomské Tulse, zástupci přepravce reagovali ještě ve čtvrtek večer.","night zde překládáme jako večer se znalostí mimotextových skutečností (událost se odehrála v 18:19 a první zprávy o ní byly vydány již v 21:00, tudíž ""noc"" ještě ani nezačala)",
,,,,,,,
,,,,,,,
abcnews.363979,,,,,,,
Germany reports landmark case of West Nile virus,Německo ohlásilo první výskyt západonilské horečky,Německo hlásí významný případ západonilského viru,Německo hlásí průlomový případ západonilské horečky,Německo oznámilo přelomový případ nákazy virem západonilské horečky,Německo ohlásilo první případ nákazy virem západonilské horečky,,
"Authorities are reporting the first known human case of West Nile virus transmitted by mosquitoes in Germany, a development apparently hastened by climate change.","Německé úřady informovaly o prvním známém případu výskytu západonilské horečky přenášené komáry na člověka, což je jev zjevně urychlený klimatickými změnami.",Úřady hlásí první známý lidský případ západonilského viru přenášeného komáry v Německu. Vývoj byl patrně uspíšen změnou klimatu.,"Vláda uveřejnila první případ přenosu viru západního Nilu z komára na člověka v Německu, rozšíření viru bylo zřejmě urychleno klimatickou změnou.",Úřady ohlásily první známý případ přenosu viru západonilské horečky z komára na člověka v Německu. Šíření viru je patrně urychleno vlivem klimatických změn.,,development explicitováno s využitím kontextu,
The national disease control and tropical medicine centers said Friday the person developed encephalitis but recovered after hospital treatment.,"Národní centra pro kontrolu nemocí a tropickou medicínu v pátek uvedla, že se u dané osoby rozvinula encefalitida, nicméně po hospitalizaci v nemocnici se pacient zcela zotavil.","Národní střediska tlumení nákazy a tropické medicíny v pátek uvedly, že se u dotyčného vyvinula encefalitida, ale po nemocniční léčbě se zotavil.","Národní centrum pro kontrolu nemocí a Centrum tropické medicíny v pátek uvedlo, že se u nakaženého rozvinula encefalitida, nicméně po nemocniční léčbě se pacient uzdravil.","Podle pátečního oznámení Národního centra pro kontrolu nemocí a Centra tropické medicíny se u dotyčného rozvinula encefalitida, ale po léčbě v nemocnici se pacient uzdravil.",,,
The virus originated in Africa but has been spread northward by migratory birds and mosquitoes. There have been several outbreaks in southern and central Europe in recent years. It is found in much of the U.S.,"Virus vznikl v Africe, ale byl zavlečen na severní polokouli prostřednictvím stěhovavých ptáků a komárů. V jižní a střední Evropě se objevilo v posledních letech několik ohnisek nákazy. Virus se vyskytuje také na většině území USA.","Virus pochází z Afriky, ale šíří se na sever prostřednictvím tažných ptáků a komárů. V posledních letech několikrát vypukl v jižní a střední Evropě. Nachází se na většině území USA.",Virus původem z Afriky se poslední dobou šíří severně prostřednictvím stěhovavých ptáků a komárů. V posledních letech bylo hlášeno několik ohnisek nákazy v jižní a střední Evropě. Vyskytuje se na většině území Spojených Států.,"Virus pochází z Afriky, ale dále na sever ho šíří stěhovaví ptáci a komáři. V posledních letech bylo zaznamenáno několik ohnisek nákazy v jižní a střední Evropě. Virus se vyskytuje také na většině území USA.",Virus má původ v Africe a dále na sever ho šíří stěhovaví ptáci a komáři. V posledních letech bylo v jižní a střední Evropě zaznamenáno několik ohnisek nákazy. Virus se vyskytuje také na většině území Spojených států.,"- but oslabený odporovací poměr, proto v N2 jen ""a""
- kvůli kohezi dodáno ""také""",
"Jonas Schmidt-Chanasit of Germany's Bernhard Nocht Institute tropical medicine center said that ""the unusually warm summers of the last two years, triggered by climate change, apparently have contributed to WNV establishing itself north of the Alps.""","Jonas Schmidt-Chanasit z německého Ústavu tropické medicíny Bernharda Nochta prohlásil, že „nezvykle teplá léta v posledních dvou letech, vyvolaná změnami klimatu, zjevně přispěla k tomu, že se západonilská horečka etablovala severně od Alp.“","Jonas Schmidt-Chanasit z německého centra tropické medicíny Institutu Bernharda Nochta uvedl, že ""neobvykle teplá léta posledních dvou let, způsobená změnou klimatu, zřejmě přispěla k tomu, že se západonilský virus usadil na sever od Alp.","""Neobyčejné teplá léta v posledních dvou letech způsobená klimatickou změnou patrně přispěly k zavlečení viru záladního Nilu do severních Alp,"" uvedl Jonas Schmidt-Chanasit z německého Institutu tropické medicíny Bernharda Nochta.","„Neobvykle teplá léta v posledních dvou letech vyvolaná klimatickou změnou zjevně přispěla k tomu, že se západonilská horečka etablovala i severně od Alp,“ uvedl Jonas Schmidt-Chanasit z německého Institutu tropické medicíny Bernharda Nochta.","„Neobvykle teplá léta v posledních dvou letech vyvolaná klimatickými změnami zjevně přispěla k tomu, že se západonilské horečce začalo dařit i severně od Alp,“ uvedl Jonas Schmidt-Chanasit z německého Institutu tropické medicíny Bernharda Nochta.",,
The virus causes dangerous meningitis or encephalitis in less than 1% of those infected.,Virus způsobuje nebezpečnou meningitidu či encefalitidu u méně než 1% infikovaných osob.,Virus způsobuje nebezpečnou meningitidu nebo encefalitidu u méně než 1 % nakažených.,Virus způsobuje nebezpečnou meningitidu nebo encefalitidu u méně než 1% nakažených případů.,Virus způsobuje nebezpečnou meningitidu nebo encefalitidu u méně než 1 % nakažených.,,,
,,,,,,,
,,,,,,,
abcnews.363994,,,,,,,
"Man pleads guilty in kidnap, torture plot of plastic surgeon",Muž přiznal vinu v případu únosu a mučení plastického chirurga,Muž přiznal vinu v případu únosu a mučení plastického chirurga,Muž se přiznal k únosu a mučení plastického chirurga,Muž se přiznal k únosu a mučení plastického chirurga,,,
A Florida man has pleaded guilty to kidnapping a plastic surgeon who was tortured with a blowtorch in an extortion attempt.,"Muž z Floridy se přiznal, že unesl plastického chirurga a při pokusu o vydírání ho mučil letlampou.","Muž z Floridy se přiznal k únosu plastického chirurga, který byl mučen pomocí letlampy při pokusu o vydírání.",Muž z Floridy se přiznal k únosu plastického chirurga a jeho mučení letlampou při pokusu o vydírání.,"Muž z Floridy se přiznal, že unesl plastického chirurga a při pokusu o vydírání ho mučil letlampou.",,,
"The Sun Sentinel reports 34-year-old Justin Boccio pleaded guilty Thursday to kidnapping and conspiracy to commit kidnapping in the January attack on the surgeon, who hasn't been publicly identified.","Noviny Sun Sentinel informovaly o 34letém Justinovi Bocciovi, který se ve čtvrtek přiznal k lednovému únosu a spiknutí při útoku na chirurga, který zůstává v anonymitě.","Sun Sentinel přináší zprávu o 34letém Justinu Bocciovi, který se ve čtvrtek přiznal k únosu a spolčení za účelem únosu při lednovém útoku na chirurga, který nebyl veřejně identifikován.","34-letý Justin Boccio se ve čtvrtek přiznal k plánování a provedení únosu při lednovém útoku na plastického chirurga, který nebyl veřejně indentifikován, jak oznámil deník Sun Sentinel.","Sun Sentinel přinesl zprávu, že se 34letý Justin Boccio ve čtvrtek přiznal k únosu a spolčování za účelem únosu v souvislosti s lednovým útokem, jehož obětí byl plastický chirurg, který zůstává v anonymitě.","Podle deníku Sun Sentinel se čtyřiatřicetiletý Justin Boccio ve čtvrtek přiznal k únosu a spolčování za účelem únosu. Případ se odehrál v lednu a obětí únosu byl plastický chirurg, jehož totožnost zůstává utajena.",,
"Boccio's attorney, Kenneth Lange, said his client was convinced to take part in the scheme by co-defendant, Serge Nkorina, who's being extradited from Tenerife, Spain.","Bocciův advokát Kenneth Lange uvedl, že jeho klienta k účasti na komplotu přesvědčil spoluobžalovaný muž Serge Nkorin, kterého právě vydává k trestnímu stíhání španělské Tenerife.","Bocciův obhájce Kenneth Lange uvedl, že jeho klient byl přesvědčen k účasti na incidentu svým spoluobviněným, Sergem Nkorinou, který byl vydán ze španělského Tenerife.","Bocciův obhájce, Kenneth Lange, uvedl, že byl jeho klient k účasti na zločinu naveden spoluobžalovaným Serge Nkorinem, který byl vydaný z Tenerife Španělskem.","Bocciův advokát Kenneth Lange uvedl, že jeho klienta k účasti na komplotu přesvědčil spoluobžalovaný Serge Nkorina, jehož v těchto dnech k trestnímu stíhání vydává španělské Tenerife.",,P2+P3 zanedbaná průběhovost being extradited,
Court documents say the surgeon was leaving a Walmart store when he was confronted by an armed man and shoved into a van. They say he was tortured for hours before being returned to his car while unconscious. Surveillance video supports the chain of events. Investigators say Nkorina's wife was a client of the surgeon.,"Podle soudních spisů byl chirurg zrovna na odchodu z obchodního centra Walmart, když jej konfrontoval ozbrojený muž a strčil do dodávky. Údajně byl podroben mučení celé hodiny, než byl v bezvědomí vrácen do svého auta. Důkazní video potvrzuje sled těchto událostí. Podle vyšetřovatelů byla Nkorinova manželka chirurgovou klientkou.","Soudní dokumenty uvádějí, že chirurg vycházel z obchodu Walmart, když byl napaden ozbrojeným mužem a strčen do dodávky. Říkají, že byl několik hodin mučen, než byl v bezvědomí vrácen do svého auta. Záznam z bezpečnostních kamer podporuje sled událostí. Vyšetřovatelé tvrdí, že Nkorinova žena byla klientkou dotyčného chirurga.","V soudním spise je uvedeno, že chirurg právě vycházel z obchodu Walmart, když byl přepaden ozbrojeným mužem a zavlečen do dodávky. Měl být mučen čtyři hodiny a poté vrácen v bezvědomí do svého vozu. Záznam z bezpečnostní kamery tento sled událostí potvrdil. Nkorinova manželka byla podle vyšetřovatelů klientkou oběti.","Podle soudních spisů byl chirurg zrovna na odchodu z obchodního centra Walmart, když mu cestu zastoupil ozbrojený muž a zavlekl jej do dodávky. Pachatel oběť údajně několik hodin mučil a poté v bezvědomí posadil do jeho auta. Tento sled událostí potvrzuje i záznam z bezpečnostních kamer. Podle vyšetřovatelů byla Nkorinova manželka klientkou napadeného chirurga.",,převod pasiva do přirozené češtiny si vynucuje explicitaci aktérů,
,,,,,,,
,,,,,,,
abcnews.364001,,,,,,,
Pit bull dies of snake bites while protecting Florida boys,"Pitbul zemřel po hadím uštknutí, když bránil chlapce na Floridě","Pitbul zemřel po uštknutí hadem, když bránil floridské chlapce",Pitbull bránící chlapce na Floridě zemřel na následky uštknutí,"Pitbul na Floridě bránil děti před hadem, na následky uštknutí zemřel ",,,
A man in Florida says his family's 8-month-old pit bull Zeus died of snake bites as it was trying to protect his sons.,"Muž z Floridy uvedl, že pes patřící jeho rodině, osmiměsíční pitbul jménem Zeus, zemřel na následky hadího uštknutí, když se pokoušel chránit mužovi syny.","Muž z Floridy říká, že osmiměsíční pitbul jeho rodiny, Zeus, zemřel na uštknutí hadem, protože se snažil bránit jeho syny.","Muž z Floridy uvedl, že jejich osmiměsíční štěně pitbulla Zeus zemřelo po hadím uštknutí, když se snažilo ochránit jeho syny.","Muž z Floridy uvedl, že rodinný pes, osmiměsíční pitbul Zeus, zemřel na následky hadího uštknutí, když se pokoušel bránit jeho syny.",,,
"Gary Richardson told WOFL-TV the boys were outside the family's home in Sumter County, Florida, on Monday, cleaning Zeus' water dish when the venomous coral snake slithered toward them. Richardson says the children didn't see the snake but the dog did and attacked it.","Gary Richardson řekl televizi WOFL, že chlapci se nacházeli v pondělí před rodinným domem v Sumter County na Floridě a čistili Zeusovu misku na vodu, když se k nim připlazil jedovatý korálovec. Richardson řekl, že děti hada neviděli, ale pes ho zaregistroval a zaútočil na něj.","Gary Richardson řekl WOLF-TV, že chlapci byli v pondělí před rodinným domem v Sumter County na Floridě a čistili Zeusovu misku na vodu, když se k nim připlazil jedovatý had korálovec. Richardson říká, že děti hada neviděly, ale pes ho viděl a zaútočil na něj.","Chlapci venku před rodinným domem v Sumter County na Floridě umýval Diovu misku na vodu, když se k nim připlazil jedovatý korálovec, uvedl Gary Richardson pro WOFL-TV. Děti si hada nevšimly, zato pes ano a zaútočil na něj.","Gary Richardson řekl WOFL-TV, že chlapci v pondělí před rodinným domem v Sumter County na Floridě čistili Zeusovu misku na vodu, když se k nim připlazil jedovatý korálovec. Děti podle Richardsonových slov hada neviděly, ale pes ho zaregistroval a zaútočil na něj.","Gary Richardson řekl televizní stanici WOFL-TV, že chlapci v pondělí na zahradě rodinného domu v Sumter County na Floridě čistili Zeusovi misku na vodu, když se k nim připlazil jedovatý korálovec. Děti si podle Richardsonových slov hada nevšimly, zato pes ho uviděl a zaútočil na něj.","P3: Diovu misku (?)
",
Richardson says the snake bit Zeus four times. The dog was rushed to a veterinarian but he died a day after the attack.,"Podle Richardsona had uštknul Zeuse celkem čtyřikrát. Rodina urychleně odvezla psa k veterináři, avšak zemřel druhý den po útoku.","Richardson uvádí, že had kousl Zeuse čtyřikrát. Pes byl rychle dopraven k veterináři, ale den po útoku zemřel.","Podle Richardsona uštknul had dia čtyřikrát. Psa okamžitě převezli k veterináři, nicméně den po útoku zemřel.","Richardson řekl, že had uštkl Zeuse čtyřikrát. Pes byl urychleně dopraven k veterináři, ale den po útoku zemřel.","Podle Richardsona had uštkl Zeuse celkem čtyřikrát. Psa urychleně odvezli k veterináři, nicméně den po útoku zemřel.","P3: dia (?)
had uštkl 2x více synv8 než had uštknul",
,,,,,,,
,,,,,,,
abcnews.364021,,,,,,,
Greece: 5 deny poor women's babies sold in illegal adoptions,Řecko: 5 obžalovaných popírá vinu v kauze prodeje dětí chudých žen v nelegálních adopcích,"Řecko: pětice popírá, že prodávala děti chudých žen k ilegální adopci",Řecko: 5 popírá prodej dětí chudých žen v nelegálních adopcích,Řecko: 5 obžalovaných odmítá obvinění z prodeje dětí chudých žen k nelegální adopci,"Řecko: Pětice obžalovaných popírá, že by prodávala děti chudých žen k nelegální adopci",,
Five Greek and Georgian citizens have appeared in court on charges of belonging to a criminal organization that allegedly sold babies for adoption.,"Před soudem stanulo pět řeckých a gruzínských občanů obviněných z příslušnosti ke zločinecké organizaci, která údajně prodávala děti určené k adopci.","Pět řeckých a gruzínských občanů stanulo před soudem. Byli obviněni z toho, že patřili ke zločinecké organizaci, která údajně prodávala děti k adopci.","Pět řeckých a gruzínských občanů čelí u soudu obvinění z příslušnosti ke zločinecké organizaci, která údajně prodává děti k adopcím.","Před soudem stanulo pět řeckých a gruzínských občanů obviněných z příslušnosti ke zločinecké organizaci, která údajně prodávala děti určené k adopci.",,,
All five denied the charges before a Thessaloniki magistrate on Friday. The two Georgian nationals are accused of being the ringleaders.,"Všech pět obžalovaných v pátek obvinění popřelo před magistrátním soudem v Soluni. Dva gruzínští státní příslušníci jsou obviněni, že byli vůdci celé skupiny.","Všech pět v pátek před soluňským soudcem obvinění popřelo. Dva Gruzínci byli obviněni, že byli iniciátory.",Všech pět v pátek před Soluňským magistrátem obvinění popřelo. Dva Gruzínci jsou obžalovaní jako klíčoví vedoucí organizace.,"Všech pět obžalovaných v pátek před magistrátním soudem v Soluni obvinění popřelo. Dva gruzínští státní příslušníci jsou obviněni z toho, že byli vůdci celé skupiny.","Všech pět obžalovaných v pátek před magistrátním soudem v Soluni obvinění popřelo. Oba gruzínští státní příslušníci čelí obvinění, že celou skupinu vedli.",,
The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Gang údajně najímal těhotné ženy z Bulharska, které pocházely z chudých poměrů a byly ochotné vzdát se novorozených dětí, které by porodily. Podle tvrzení úřadů poté skupina prodávala novorozence bezdětným řeckým párům.","Gang údajně najímal těhotné bulharské ženy, které byly nemajetné a chtěly se vzdát novorozenců, které měly porodit. Úřady tvrdí, že skupina děti prodávala bezdětným řeckým párům.","Gang údajně nabíral strádající těhotné bulharské ženy ochotné vzdát se svých novorozeňat. Skupina prodávala děti bezdětných řeckým párům, uvedl zdroj.","Gang údajně najímal těhotné ženy z Bulharska, které pocházely z chudých poměrů a byly ochotné se dětí po porodu vzdát. Podle tvrzení úřadů skupina novorozence prodávala bezdětným řeckým párům.",,,
A total 12 people were arrested this week in connection with the alleged illegal adoptions and the alleged sale of human eggs. Another 54 have been charged with complicity.,Tento týden bylo zatčeno celkem 12 lidí v souvislosti s údajnými ilegálními adopcemi a prodejem lidských vajíček. Dalších 54 lidí bylo obviněno ze spoluúčasti.,Celkem 12 lidí bylo tento týden zadrženo v souvislosti s údajnými ilegálními adopcemi a s údajným obchodem s lidskými vajíčky. Dalších 54 bylo obviněno ze spoluúčasti.,Celkově bylo tento týden v souvislosti s údajnými nelegálními adopcemi a prodejem vajíček zadrženo 12 osob. Dalších 54 osob čelí obvinění ze spoluúčasti.,Tento týden bylo v souvislosti s údajnými nelegálními adopcemi a prodejem lidských vajíček zadrženo celkem 12 lidí. Dalších 54 osob bylo obviněno ze spoluúčasti.,,,
Police say it was one of the biggest and best-organized gangs of its kind in Europe. The continent's Europol police agency assisted the investigation.,"Policie uvedla, že se jednalo o jeden z největších a nejlépe organizovaných gangů svého druhu v Evropě. Při vyšetřování pomáhal Evropský policejní úřad.","Policie uvádí, že šlo o jeden z největších a nejlépe organizovaných gangů tohoto druhu v Evropě. Na vyšetřování se podílela evropská policejní agentura Europol.",Podle policie jde o jednu z největších a nejlépe organizovaných skupin svého druhu v Evropě. Na vyšetřování se podílí Evropský policejní úřad.,"Policie uvedla, že se jednalo o jeden z největších a nejlépe organizovaných gangů svého druhu v Evropě. Na vyšetřování se podílela také evropská policejní agentura Europol.",Podle policie se jednalo o jednu z největších a nejlépe organizovaných zločineckých skupin svého druhu v Evropě. Na vyšetřování se podílel také evropský policejní úřad Europol.,,
,,,,,,,
,,,,,,,
aj-english.8608,,,,,,,
